用户名,楼层,回复时间,回复内容,服务器,角色id
喵呜喵,241楼,2022-02-26 14:40,墨家古阵10738969─=≡Σ1.陆游-路游2.唐婉-唐绾3.完颜亮-完颜明4.完颜雍-完颜庸5.萧摩诃-萨摩耶6.高长恭-高常恭,,
牵默,242楼,2022-02-26 14:43,苗疆密林10705378陆游---陆郎唐婉---婉儿完颜亮---完颜明完颜雍---完颜庸萧摩诃---魔珂高长恭---兰陵王,,
丨❛‿˂̵✧,243楼,2022-02-26 15:03,服务器：无名幻境ID：11164069陆游——陆少英唐婉——唐亦兰完颜亮——完颜烈完颜雍——完颜基萧摩诃——萧飞鹰高长恭——高谦明,无名幻境,11164069
东方荀彧,244楼,2022-02-26 15:14,墨家古镇105581481.陆游——陆诀2.唐婉——唐苑3.完颜亮——完颜洪4.完颜雍——完颜明5.萧摩诃——萧默珂6.高长恭——高梦颜,,
丿荒灬夜,245楼,2022-02-26 15:26,服务器：无名幻境ID：11292563陆游——陆少游，或者陆务观。理由：陆游，字务观，其名出自列子•仲尼“务外游，不知务内观”，意为列子只知道欣赏外物的万千变化，却不知道自身也在不停地变化之中；只知道欣赏外物的绚丽多彩，却不知道欣赏自己的内心世界。故少游和务观同义，皆要求人要不假外物，自省内观，而这样的人才能怀北伐之志，担北伐之任，符合游戏剧情。唐婉——唐绾倾，绾，是盘绕，系结的意思，这里谐音“绾青丝”，意指美好曼妙的女性；同时，绾可解释为系念，挂念，搭配“倾”字，意指对陆郎的倾慕爱念。这个名字表达了对陆游唐婉这对佳人的美好祝愿。高长恭——高楚渊；楚渊，可意为“处渊”，暗止兰陵王在官场之上，纵有才华，也要以面具遮面，如临深渊，毕竟历史上兰陵王便是功高盖主被赐鸩酒而死；另楚作形容词，有痛楚的意思，也有衣冠楚楚的意思，表现了兰陵王一个复杂的人设，而渊，同“鸢”，意指鹰击长空，也是为了描写兰陵王的天纵才华与雄心壮志萧摩柯——萧元胤。理由：萧摩柯，字元胤完颜亮——完颜明完颜雍——完颜碌,无名幻境,11292563
何当归,246楼,2022-02-26 15:31,服务器：洞庭月夜ID：101119121.陆游——陆观2.唐婉——唐菀3.完颜亮——完颜明4.完颜雍——完颜禄5.萧摩诃——萧烈6.高长恭——高倏隐,洞庭月夜,10111912
起个名字随意,248楼,2022-02-26 15:44,无名幻境113405351.陆游——陆悠2.唐婉——唐绾3.完颜亮——完颜良4.完颜雍——完颜勇5.萧摩诃——萧莫科6.高长恭——高长虹,,
适之,250楼,2022-02-26 16:16,服务器：天津晓月lD:101149391.陆游——陆务观2.唐婉——唐琬3.完颜亮——完颜明4.完颜雍——完颜庸5.萧摩诃——萧战6.高长恭——高短恭,天津晓月,
九霄是绅士,251楼,2022-02-26 16:21,1.陆游——路游2.唐婉——唐娟3.完颜亮——完颜明4.完颜雍——完颜庸5.萧摩诃——萧无量6.高长恭——高齐,,
第二刀妹,255楼,2022-02-26 18:57,服务器：天山雪谷id：10464106陆游——陆櫌唐婉——唐輓完颜亮——完颜駺完颜雍——完颜饔萧摩诃——萧默爀高长恭——高娼公,天山雪谷,10464106
寻夜酱,256楼,2022-02-26 19:21,萧摩诃—-萧炎,,
歌尽桃花,257楼,2022-02-26 20:24,服务器：天山雪谷ID：104094621.陆游——陆梦观2.唐婉——唐婉清3.完颜亮——完颜朗4.完颜雍——完颜熙5.萧摩诃——萧无量6.高长恭——高兰陵,天山雪谷,10409462
小熊喵,258楼,2022-02-26 21:11,无名幻境ID:11204280陆游——陆志庸唐婉——唐姊薇完颜亮——端木枰楠完颜雍——端木伍攸萧摩诃——萧镇涛高长恭——高鉴,,11204280
小熊喵,259楼,2022-02-26 21:21,无名幻境ID：11204280,,11204280
逆天kdsw,262楼,2022-02-26 22:21,无名幻境104980061.陆游—陆忧2.唐婉—唐莞3.完颜亮—完颜明4.萧摩诃—萧墨郃5.完颜雍—完颜邕6.高长恭—高常恭,,
叶落长安,264楼,2022-02-26 22:53,墨家古阵10560442陆游---陆祐唐婉---唐菀完颜亮---完颜谅完颜雍---完颜庸萧摩诃---萧摩纥高长恭---高昶功,,
瞋目二狗,268楼,2022-02-26 23:23,服务器：天津晓月ID：104375281.陆游——陆洐2.唐婉——唐珏3.完颜亮——完颜明4.完颜雍——完颜禄5.萧摩诃——萧诃胤6.高长恭——高长凛,天津晓月,10437528
贴吧用户_Q5339tW,270楼,2022-02-26 23:55,服务器：水月山庄UD：12551911.陆游——陆征（字靖远）2.唐婉——唐随（字饶思）3.完颜亮——完颜明4.完颜雍——完颜胜5.萧摩诃——萧统,水月山庄,
徐来清风,271楼,2022-02-26 23:58,服务器：墨家古阵id：10583028陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,墨家古阵,10583028
徐来清风,272楼,2022-02-27 00:01,服务器：木兰山中id：10329028陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,木兰山中,10329028
徐来清风,273楼,2022-02-27 00:02,服务器：木兰山中id：10332779陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,木兰山中,10332779
徐来清风,274楼,2022-02-27 00:03,服务器：木兰山中id：10355478陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,木兰山中,10355478
徐来清风,275楼,2022-02-27 00:04,服务器：木兰山中id：10355496陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,木兰山中,10355496
徐来清风,276楼,2022-02-27 00:07,服务器：无名幻境id：10621973陆游——路由器唐婉——糖宛完颜亮——完颜靓完颜雍——完颜啊谷朵萧摩柯——萧十一郎高长恭——高沐雪,无名幻境,10621973
巴黎巴黎,277楼,2022-02-27 00:10,服务器：苗疆密林ID：10845147陆游——陆由唐婉——唐缘完颜亮——赵亮完颜雍——赵雍萧摩柯——萧讷高长恭——兰零,苗疆密林,10845147
要不要算,278楼,2022-02-27 01:09,陆游—陆务观唐婉—唐婉儿高长恭—兰陵王完颜亮—完颜元功完颜雍—完颜乌禄角色ID：10158637服务器名：无名幻境,名无名幻境,10158637
wdpwj123,279楼,2022-02-27 07:52,服务器：明月楼ID:10011956陆游-陆柒捌唐婉-唐糖高长恭-高待厕完颜亮-张亮完颜雍-张雍,明月楼,10011956
你若安好,280楼,2022-02-27 08:40,洞庭月夜10042505天将雨陆游——陆婉唐婉——唐游完颜亮——完颜明完颜雍——完颜庸萧摩诃——萧无量高长恭——高都督,,
点道为止,281楼,2022-02-27 11:14,服务器：龙泉剑庐ID：103568451.陆游——陆靖2.唐婉——唐蓉3.完颜亮——完颜光4.完颜雍——完颜禄5.萧摩诃——萧元胤6.高长恭——高子陵,龙泉剑庐,10356845
云灏川,283楼,2022-02-27 12:11,苗疆密林苗疆密林10589495陆游——陆放翁唐婉——唐蕙仙完颜亮——完颜达完颜雍——完颜瑞萧摩诃——萧阵山高长恭——高礼贡,,
贴吧用户_Q5339tW,285楼,2022-02-27 12:41,服务器：水月山庄ID：12551911.陆游——陆征（字靖远）2.唐婉——唐随（字饶思）3.完颜亮——完颜明4.完颜雍——完颜胜5.萧摩诃——萧统6.高长恭——高游,水月山庄,1255191
念所不及,286楼,2022-02-27 12:42,服务器:苗疆密林ID:105245841.陆游——陆务观2.唐婉——唐蕙仙3.完颜亮——完颜迪古乃4.完颜雍——完颜乌禄5.萧摩诃——萧元胤6.高长恭——高肃/高孝瓘,苗疆密林,10524584
日,287楼,2022-02-27 13:01,苗疆密林10882071伊本哈桑1.陆游——陆斿2.唐婉——唐宛3.完颜亮——完颜康4.完颜雍——完颜过5.萧摩诃——萧峰6.高长恭——高进,,
司南,288楼,2022-02-27 13:47,离忧谷10023152陆游:陆汸唐婉:唐玘,,
卖萌的比利亚,289楼,2022-02-27 14:05,天山雪谷,,
1620058790,291楼,2022-02-27 15:53,为啥名称要调整？同王者农药？,,
1620058790,292楼,2022-02-27 15:55,萧摩诃（532年－604年），字元胤,,
无血科沃斯,293楼,2022-02-27 16:39,服务器：苗疆密林ID：107707371.陆游——陆由2.唐婉——唐莞3.完颜亮——完颜明4.完颜雍——完颜正5.萧摩柯——萧战6.高长恭——高常公,苗疆密林,10770737
文能舞刀,294楼,2022-02-27 17:32,服务器：苗疆密林id：10905172陆游——路游唐婉——糖婉完颜亮——完颜靓完颜雍——完颜壅萧摩柯——萧墨客高长恭——高常珙,苗疆密林,10905172
风灵玉秀,295楼,2022-02-27 18:03,陆子，唐子，完颜一，完颜二，萧子，高子,,
君子咕咕,296楼,2022-02-27 18:08,明月楼10148088霁雪1.陆游——陆斿2.唐婉——唐宛3.完颜亮——完颜康4.完颜雍——完颜过5.萧摩诃——萧峰6.高长恭——高进,,
amhd,297楼,2022-02-27 18:42,离忧谷10515533陆游——陆放翁唐婉——唐菀完颜亮——完颜明完颜雍——完颜禄萧摩诃——萧秀容高长恭——兰陵王,,
獨菰九劍,299楼,2022-02-27 19:03,服务器：无名幻境ID：10516060陆游—陆放唐婉—唐婉完颜亮—完颜明完颜雍—完颜墉萧摩柯—萧战高长恭—高恭长,无名幻境,10516060
雨mess,300楼,2022-02-27 19:15,离忧谷102021581、陆游——陆悠2、唐婉——唐绾3、完颜亮——完颜椋4、完颜雍——完颜邕5、萧摩柯——萧烈6、高长恭——高行,,
大耳朵小狼,302楼,2022-02-27 19:25,大山，小美，二狗子，翠花，卡了迷，大壮，金发妹，金发女，大漂亮，千条妹，金姐，大强子，大李薇薇，达不溜，随便选，萧摩柯就叫佛波勒好了,,
凌渊尘,303楼,2022-02-27 22:06,苗疆密林10522541蓑雨陆游——陆鸿唐婉——唐涟完颜亮——完颜炽完颜雍——完颜荣萧摩柯——萧墨高长恭——高檀,,
有趣mmp,305楼,2022-02-27 22:24,天津晓月10436746大雪山龙王陆游—陆婉唐婉—唐游高长恭—高摩柯萧摩柯—萧长工,,
神久秋風岚,306楼,2022-02-27 23:38,苗疆密林10844032陆游——陆尽帆唐婉——唐清婵（潺）完颜亮——完颜斡徵完颜雍——完颜斡盛萧摩柯——萧戮高长恭——高慕永（庸）,,
你丫的白度,307楼,2022-02-28 02:10,服务器：无名幻境ID:113372881.陆游——陆远2.唐婉——唐薇3.完颜亮——完颜瑜4.完颜雍——完颜凉5.萧摩柯——萧无极6.高长恭——高长陵,无名幻境,11337288
张凯枫,308楼,2022-02-28 03:10,…我都卸载了，不关我事我就回来看看还有没其他游戏,,
为谁剑拔弩张,309楼,2022-02-28 09:22,服务器；天山雪谷Id:10086654陆游—陆由唐婉—唐菀完颜亮—完颜靓完颜雍—完颜庸萧摩柯—萧摩科高长恭—高长工,；天山雪谷,
Balsa,310楼,2022-02-28 09:47,服务器：天津晓月ID：102050261.陆游——陆延2.唐婉——唐琬3.完颜亮——完颜信4.完颜雍——完颜睦5.萧摩诃——萧胤伽6.高长恭——高孝璋,天津晓月,10205026
牧笙灬,312楼,2022-02-28 10:51,天山雪谷10708511道寻常说实话，这些人里面除了狗夫妻算一队，高长恭算半个，其他几个人真的存在感不高。但是这些人物在汉家之所以出彩就是因为其历史形象和游戏形象的重叠让我觉得牛逼。所以常规改怎么改我都觉得出戏。陆游——路务观唐婉——唐蕙仙完颜雍——完颜褎完颜亮——完颜元功萧摩诃——萧摩元胤高长恭——高孝瓘万一审核的没文化，不会百度百科那不就过关了么。这样改只是对喜欢历史人物的玩家来说不会太出戏。,,
卜晓得,314楼,2022-02-28 12:33,服务器：墨家古阵lD:10466118陆游-陆仙人唐婉-唐璐完颜亮-完阳华完颜雍-完恒铁萧摩诃-萧楚狂高长恭-高锦鲤,墨家古阵,
skipper97,315楼,2022-02-28 12:35,服务器:苗疆密林ID:10562063陆游-陆方文唐婉-苑棠萧摩诃-元胤高长恭-高肃之,苗疆密林,10562063
Prolietariat,316楼,2022-02-28 14:07,服务器:木兰山中ID:10209760陆游——陆务观唐婉——唐菀完颜亮——完颜曌完颜雍——完颜隆萧摩诃——萧胤高长恭——高肃,木兰山中,10209760
梦之境,317楼,2022-02-28 16:08,,,
梦之境,318楼,2022-02-28 17:52,服务器:无名幻境ID:101195331.陆游——陆流2.唐婉——唐嫣3.完颜亮——完颜灭4.完颜雍——完颜睦5.萧摩柯——萧绝6.高长恭——高长宏,无名幻境,10119533
梦之境,319楼,2022-02-28 17:54,服务器:无名幻境ID:101195331.陆游——陆流2.唐婉——唐嫣3.完颜亮——完颜灭4.完颜雍——完颜睦5.萧摩柯——萧绝6.高长恭——高长宏,无名幻境,10119533
红袖添香TnT,321楼,2022-02-28 19:34,是这些人的后代告了松鼠吗,,
阿渡鸦,322楼,2022-02-28 20:56,服务器：无名幻境ID：112789231.陆游——陆长安2.唐婉——唐洛阳,无名幻境,11278923
贴吧用户_QQ6M764,323楼,2022-02-28 23:22,服务器：天山雪谷id:108003761.陆游——陆游器2.唐婉——糖苑3.完颜亮——完颜基儿4.完颜雍——完颜戳5.萧摩柯——萧色6.高长恭——高手,天山雪谷,10800376
小,324楼,2022-03-01 00:19,墨家古阵Id：10370518陆游—陆由完颜亮—完颜靓完颜雍—完颜庸萧摩柯—萧摩科高长恭—高长工,,
青青小小-筱,327楼,2022-03-01 13:19,服务器：苗疆密林ID：106893041.陆游——陆鸿翊2.唐婉——唐嫣、唐忆仙、唐柔、唐代欢3.完颜亮——完颜明4.完颜雍——完颜禛5.萧摩诃——萧胤6.高长恭——高靖之,苗疆密林,10689304
离笙夢故月,328楼,2022-03-01 13:46,服务器：洞庭月夜ID：101208221.陆游——陆惊鸿/陆审源2.唐婉——唐挽初3.完颜亮——完颜良4.完颜雍——完颜庸5.萧摩诃——萧陌壑6.高长恭——高景行,洞庭月夜,10120822
Mmmori,329楼,2022-03-01 17:42,服务器：苗疆密林ID:10559556陆游-陆神唐婉-唐仙,苗疆密林,10559556
一年刷一图,330楼,2022-03-02 01:37,什么原因呢,,
想蹲起子,331楼,2022-03-02 07:03,服务器：明月楼lD:10000061倚天陆游-陆卜知唐婉-唐蝶完颜亮-完颜志完颜雍-完颜玺萧摩诃-萧沙棘高长恭-高鸿瑞,明月楼,
情弱灬,332楼,2022-03-02 09:07,苗疆密林103719401.陆游-路游2.唐婉-唐丸3.完颜亮-完颜明4.完颜雍-完颜庸5.萧摩诃-萨摩耶6.高长恭-高常恭,,
爷傲奈我何,335楼,2022-03-02 20:01,天山雪谷10600974风清扬．陆游-陆渊唐婉-唐绾完颜亮-完颜峰完颜雍-完颜鸿萧摩诃-萧漠高长恭-高长卿,,
爷傲奈我何,336楼,2022-03-02 20:04,天山雪谷10724363逍遥王破陆游-陆万森唐婉-唐北星完颜亮-完颜青完颜雍-完颜红萧摩诃-萧参高长恭-高长荒,,
爷傲奈我何,337楼,2022-03-02 20:09,天山雪谷10741640春风不语陆游-陆沉唐婉-唐绾完颜亮-完颜安完颜雍-完颜姚萧摩诃-萧余斗高长恭-高少安,,
爷傲奈我何,338楼,2022-03-02 20:09,天山雪谷10748715汉家吴霜降陆游-陆渊唐婉-唐绾完颜亮-完颜峰完颜雍-完颜鸿萧摩诃-萧漠高长恭-高长卿,,
爷傲奈我何,339楼,2022-03-02 20:11,天山雪谷10730473青山景阳。陆游-陆渊唐婉-唐绾完颜亮-完颜峰完颜雍-完颜鸿萧摩诃-萧漠高长恭-高长卿,,
无聊看论坛,341楼,2022-03-02 21:17,天津晓月10116587陆游——陆岁寒唐婉——唐玉妆完颜亮——孙亮完颜雍——李庸萧摩诃——萧峻阳高长恭——高祈,,
来看看的魔法师,342楼,2022-03-02 21:19,龙泉剑庐10121645陆游——陆岁寒唐婉——唐玉妆完颜亮——孙亮完颜雍——李庸萧摩诃——萧峻阳高长恭——高祈,,
菜猫鱼,344楼,2022-03-03 01:56,服务器:明月楼ID:100531191.陆游－陆乘月2.唐婉－唐素娥3.完颜亮－完颜光4.完颜雍－完颜怡5.萧摩诃－萧无量6.高长恭－高少安,明月楼ID100531191.陆游－陆乘月2.唐婉－唐素娥3.完颜亮－完颜光4.完颜雍－完颜怡5.萧摩诃－萧无量6.高长恭－高少安,服务器明月楼100531191.陆游－陆乘月2.唐婉－唐素娥3.完颜亮－完颜光4.完颜雍－完颜怡5.萧摩诃－萧无量6.高长恭－高少安
大头😋,346楼,2022-03-03 13:00,服务器名：明月楼ID：10140554唐婉-糖丸陆游-路由,名明月楼,10140554
最小楼,347楼,2022-03-03 13:10,服务器：墨家古阵ID：10654137小小梧桐1.陆游——陆观2.唐婉——唐菀3.完颜亮——完颜明4.完颜雍——完颜禄5.萧摩诃——萧烈6.高长恭——高倏隐,墨家古阵,
喵了个咪812,348楼,2022-03-04 09:05,服务器：离忧谷ID：10380818陆游——陆佑唐婉——唐菀完颜亮——完颜明完颜雍——完颜勇萧摩诃——萧伯纳高长恭——高久禅,离忧谷,10380818
画中人,351楼,2022-03-04 21:03,天山雪谷10642167宁芷云陆游——陆翰群唐婉——唐静婉完颜亮——完颜光完颜雍——完颜壅萧摩诃——萧镇南高长恭——高泽瑜,,
贴吧用户_Q5339tW,352楼,2022-03-07 17:04,服务器：水月山庄ID：12551911.陆游——陆征字靖远2.唐婉——唐随字饶思3.完颜亮——完颜明4.完颜雍——完颜胜5.萧摩诃——萧统6.高长恭——高游,水月山庄,1255191
十安的宝藏,354楼,2022-03-10 20:43,公布了吗,,
牛皮羊皮虎皮,355楼,2022-09-01 23:42,服务器：无名幻境id：10878924陆游——方子昭唐婉——林宛营完颜亮——王夺天完颜雍——王夺地萧摩柯——何坤高长恭——于禄,无名幻境,10878924
素年锦时,356楼,2022-09-02 09:37,服务器：离忧谷ID：离忧谷10129116【图片】>>>活动简介首先要跟大侠们道个歉，松鼠需要在资料片上线时对陆游、唐婉、完颜亮、完颜雍、萧摩诃和高长恭六名角色的名称进行调整。这些角色陪伴了《汉家江湖m》多年，相信不少大侠也已经对他们有了感情。因此松鼠决定把改名的机会交给各位大侠，希望多少能弥补一些遗憾！正所谓三个汉家智叟，赛过诸葛亮！参与活动给出建议，就能获得100元宝哦！>>>活动时间回复时间：即日起至2022年3月4日23:59结果公布时间：2022年3月10日>>>参与方式请在本帖内留言您想取的侠客名字参与示例服务器：苗疆密林ID：100101101.陆游——陆不悔2.唐婉——唐恬3.完颜亮——完颜隆4.完颜雍——完颜珂5.萧摩诃——萧尘6.高长恭——高林石,苗疆密林,10010110
(^～^) ,357楼,2022-09-02 10:41,也就🕰️国屁事多,,
月月轻松,358楼,2022-09-02 17:34,服务器:桃花坞ID:101339281.陆游——陆惊鸿2.唐婉——唐照影3.完颜亮——始无暗4.完颜雍——始无猥5.萧摩诃——摩无量6.高长恭——矮短傲(ps:12出自曾是惊鸿照影来5出自摩诃无量456出自反义其中颜无反义用无代替了还有那个雍字估计在名字里代表雍容遂用猥琐一词中猥字),桃花坞,10133928
秋亦晚丶,359楼,2022-09-04 00:36,天津晓月10090153秋亦晚陆惊鸿，唐钗凤，两个完颜随便吧，萧长宰，高长恭太绝了改不来了,,
